eprime,theta,xbj,q2,w,modelxsec,epsilon
1.2,29.045,0.187,2.591,3.485,0.0,0.25268258659208626
1.22,29.045,0.191,2.634,3.473,0.0047541,0.25664602224101896
1.24,29.045,0.194,2.677,3.462,0.0046874,0.26059964121730633
1.26,29.045,0.198,2.72,3.45,0.0046227,0.2645433463090794
1.28,29.045,0.202,2.763,3.438,0.0045572,0.2684770412783869
1.3,29.045,0.205,2.806,3.427,0.0044916,0.2724006308667789
1.32,29.045,0.209,2.85,3.415,0.004422,0.27638060473465775
1.34,29.045,0.213,2.893,3.403,0.0043565,0.2802832093884201
1.36,29.045,0.217,2.936,3.391,0.0042911,0.28417543021186253
1.38,29.045,0.22,2.979,3.379,0.0042268,0.28805717593797536
1.4,29.045,0.224,3.022,3.367,0.0041624,0.29192835630413216
1.42,29.045,0.228,3.066,3.355,0.0040971,0.295853004410397
1.44,29.045,0.232,3.109,3.343,0.0040344,0.2997023022756173
1.46,29.045,0.236,3.152,3.331,0.0039715,0.3035407715621909
1.48,29.045,0.24,3.195,3.319,0.0039103,0.30736832608786036
1.5,29.045,0.244,3.238,3.307,0.00385,0.311184880695045
1.52,29.045,0.248,3.281,3.294,0.0037907,0.3149903512544104
1.54,29.045,0.252,3.325,3.282,0.0037332,0.31884587638226775
1.56,29.045,0.256,3.368,3.27,0.0036756,0.3226284549583249
1.58,29.045,0.26,3.411,3.257,0.0036197,0.32639970491437365
1.6,29.045,0.264,3.454,3.245,0.0035662,0.33015954628427474
1.62,29.045,0.268,3.497,3.233,0.0035119,0.33390790014499433
1.64,29.045,0.272,3.541,3.22,0.0034585,0.3377035357656936
1.66,29.045,0.276,3.584,3.208,0.0034078,0.3414282147542722
1.68,29.045,0.28,3.627,3.195,0.0033556,0.3451411774477973
1.7,29.045,0.284,3.67,3.182,0.0033021,0.34884234913549544
1.72,29.045,0.288,3.713,3.17,0.00325,0.3525316561601213
1.74,29.045,0.293,3.756,3.157,0.0031979,0.35620902591957865
1.76,29.045,0.297,3.8,3.144,0.0031454,0.35993044418827513
1.78,29.045,0.301,3.843,3.131,0.0030925,0.3635832691284917
1.8,29.045,0.305,3.886,3.118,0.0030389,0.36722394713732404
1.82,29.045,0.31,3.929,3.105,0.0029871,0.37085240986094725
1.84,29.045,0.314,3.972,3.092,0.002936,0.374468590005938
1.86,29.045,0.318,4.015,3.079,0.0028818,0.37807242133988134
1.88,29.045,0.323,4.059,3.066,0.0028285,0.38171717159699675
1.9,29.045,0.327,4.102,3.053,0.0027756,0.3852956652468982
1.92,29.045,0.332,4.145,3.04,0.0027237,0.38886161963810945
1.94,29.045,0.336,4.188,3.026,0.0026723,0.3924149727981609
1.96,29.045,0.34,4.231,3.013,0.0026221,0.39595566381588065
1.98,29.045,0.345,4.275,2.999,0.002572,0.3995347457836065
2.0,29.045,0.35,4.318,2.986,0.0025234,0.4030494980497333
2.02,29.045,0.354,4.361,2.972,0.002475,0.4065514137455515
2.04,29.045,0.359,4.404,2.959,0.0024281,0.4100404362115666
2.06,29.045,0.363,4.447,2.945,0.0023811,0.41351650984592203
2.08,29.045,0.368,4.49,2.931,0.0023357,0.41697958010326736
2.1,29.045,0.373,4.534,2.918,0.0022906,0.42047810972977845
2.12,29.045,0.377,4.577,2.904,0.0022448,0.4239145897648217
2.14,29.045,0.382,4.62,2.89,0.0021997,0.4273379111196841
2.16,29.045,0.387,4.663,2.876,0.0021556,0.4307480234707268
2.18,29.045,0.392,4.706,2.862,0.0021097,0.4341448775426691
2.2,29.045,0.397,4.749,2.848,0.0020659,0.4375284251065856
2.22,29.045,0.401,4.793,2.833,0.0020199,0.440944611609861
2.24,29.045,0.406,4.836,2.819,0.0019745,0.4443009938808888
2.26,29.045,0.411,4.879,2.805,0.0019295,0.4476439332755547
2.28,29.045,0.416,4.922,2.79,0.0018849,0.4509733857358716
2.3,29.045,0.421,4.965,2.776,0.0018417,0.45428930823787
2.32,29.045,0.426,5.009,2.761,0.0017976,0.4576356041938676
2.34,29.045,0.431,5.052,2.747,0.0017559,0.4609239405525083
2.36,29.045,0.436,5.095,2.732,0.0017136,0.4641986261568232
2.38,29.045,0.441,5.138,2.717,0.0016729,0.4674596220964744
2.4,29.045,0.447,5.181,2.702,0.0016328,0.4707068904795593
2.42,29.045,0.452,5.224,2.687,0.0015925,0.4739403944291773
2.44,29.045,0.457,5.268,2.672,0.0015534,0.4772016589256296
2.46,29.045,0.462,5.311,2.657,0.001515,0.4804071389369234
2.48,29.045,0.467,5.354,2.642,0.0014755,0.48359875207551123
2.5,29.045,0.473,5.397,2.626,0.001437,0.48677646549317843
2.52,29.045,0.478,5.44,2.611,0.0013979,0.4899402473375437
2.54,29.045,0.484,5.483,2.596,0.0013599,0.49309006674794165
2.56,29.045,0.489,5.527,2.58,0.001322,0.49626514796965754
2.58,29.045,0.494,5.57,2.564,0.001284,0.49938657838165057
2.6,29.045,0.5,5.613,2.549,0.0012473,0.5024939618504379
2.62,29.045,0.505,5.656,2.533,0.0012116,0.5055872714427622
2.64,29.045,0.511,5.699,2.517,0.0011755,0.5086664811946736
2.66,29.045,0.517,5.743,2.501,0.0011404,0.5117689568845407
2.68,29.045,0.522,5.786,2.484,0.0011065,0.5148195283703474
2.7,29.045,0.528,5.829,2.468,0.0010728,0.5178559300733208
2.72,29.045,0.534,5.872,2.452,0.0010395,0.520878139861106
2.74,29.045,0.539,5.915,2.435,0.0010071,0.5238861365458216
2.76,29.045,0.545,5.958,2.419,0.0009744,0.5268798998788699
2.78,29.045,0.551,6.002,2.402,0.00094155,0.5298946397550476
2.8,29.045,0.557,6.045,2.385,0.00090975,0.5328595280270725
2.82,29.045,0.563,6.088,2.368,0.00087837,0.5358101299772203
2.84,29.045,0.569,6.131,2.351,0.0008477,0.5387464290616927
2.86,29.045,0.575,6.174,2.334,0.00081774,0.5416684096485544
2.88,29.045,0.581,6.217,2.316,0.00078831,0.5445760570120585
2.9,29.045,0.587,6.261,2.299,0.00075957,0.5475025048218292
2.92,29.045,0.593,6.304,2.281,0.00073135,0.5503811070649177
2.94,29.045,0.599,6.347,2.263,0.00070399,0.5532453394833444
2.96,29.045,0.606,6.39,2.245,0.00067671,0.5560951909178726
2.98,29.045,0.612,6.433,2.227,0.00065001,0.5589306510858021
3.0,29.045,0.618,6.477,2.209,0.00062356,0.5617831833792227
3.02,29.045,0.625,6.52,2.191,0.00059782,0.5645895066041047
3.04,29.045,0.631,6.563,2.172,0.0005726,0.5673814151060231
3.06,29.045,0.637,6.606,2.154,0.00054861,0.5701589020458563
3.08,29.045,0.644,6.649,2.135,0.00052464,0.5729219614297746
3.1,29.045,0.65,6.692,2.116,0.0005014,0.5756705881028624
3.12,29.045,0.657,6.736,2.097,0.00047893,0.5784343154491518
3.14,29.045,0.664,6.779,2.077,0.00045654,0.5811537507348326
3.16,29.045,0.67,6.822,2.058,0.00043513,0.5838587449975993
3.18,29.045,0.677,6.865,2.038,0.00041378,0.5865492963711417
3.2,29.045,0.684,6.908,2.018,0.00039322,0.5892254037952226
3.22,29.045,0.691,6.951,1.998,0.00037331,0.5918870670090082
3.24,29.045,0.698,6.995,1.978,0.00035393,0.5945619686751759
3.26,29.045,0.705,7.038,1.957,0.00033517,0.5971944451581713
3.28,29.045,0.712,7.081,1.937,0.00031707,0.5998124835446541
3.3,29.045,0.719,7.124,1.916,0.00029947,0.6024160867006282
3.32,29.045,0.726,7.167,1.895,0.00028253,0.6050052582573935
3.34,29.045,0.733,7.211,1.873,0.00026621,0.6076061979070151
3.36,29.045,0.74,7.254,1.851,0.00025059,0.6101662303596229
3.38,29.045,0.747,7.297,1.83,0.00023565,0.6127118487781397
3.4,29.045,0.755,7.34,1.807,0.00022146,0.615243059781718
3.42,29.045,0.762,7.383,1.785,0.00020782,0.6177598707198859
3.44,29.045,0.769,7.426,1.762,0.00019471,0.6202622896655141
3.46,29.045,0.777,7.47,1.739,0.00018202,0.622774809264686
3.48,29.045,0.785,7.513,1.716,0.00016984,0.6252481943627703
3.5,29.045,0.792,7.556,1.692,0.00015809,0.6277072180774134
3.52,29.045,0.8,7.599,1.668,0.00014681,0.6301518912990958
3.54,29.045,0.808,7.642,1.644,0.00013615,0.632582225606019
3.56,29.045,0.815,7.685,1.619,0.00012636,0.6349982332569573
3.58,29.045,0.823,7.729,1.594,0.00011757,0.6374227768450933
3.6,29.045,0.831,7.772,1.568,0.00010867,0.6398099064136639
3.62,29.045,0.839,7.815,1.542,0.00010025,0.6421827522028395
3.64,29.045,0.847,7.858,1.516,9.1994e-05,0.6445413291161569
3.66,29.045,0.855,7.901,1.489,8.3875e-05,0.6468856527016843
3.68,29.045,0.863,7.945,1.462,7.5846e-05,0.6492372844715613
3.7,29.045,0.872,7.988,1.434,6.8065e-05,0.6515528967920513
3.72,29.045,0.88,8.031,1.405,6.067e-05,0.6538543082817238
3.74,29.045,0.888,8.074,1.376,5.3849e-05,0.6561415369882466
3.76,29.045,0.897,8.117,1.347,4.7644e-05,0.6584146015676329
3.78,29.045,0.905,8.16,1.316,4.2109e-05,0.6606735212770242
3.8,29.045,0.914,8.204,1.285,3.7196e-05,0.662938365578771
3.82,29.045,0.923,8.247,1.254,3.2911e-05,0.6651688141907669
3.84,29.045,0.931,8.29,1.221,2.9158e-05,0.667385181255757
3.86,29.045,0.94,8.333,1.188,2.5987e-05,0.6695874883561997
3.88,29.045,0.949,8.376,1.153,2.3399e-05,0.6717757576395436
3.9,29.045,0.958,8.419,1.118,2.1375e-05,0.673950011811039
3.92,29.045,0.967,8.463,1.081,1.9837e-05,0.6761289014887705
3.94,29.045,0.976,8.506,1.043,1.8629e-05,0.6782749662917353
3.96,29.045,0.985,8.549,1.003,1.7531e-05,0.6804070893461652
3.98,29.045,0.995,8.592,0.962,1.6315e-05,0.6825252955091955
4.0,29.045,1.004,8.635,0.919,1.4833e-05,0.6846296101598973
4.02,29.045,1.014,8.679,0.874,1.3089e-05,0.6867375557814723
4.04,29.045,1.023,8.722,0.827,1.1214e-05,0.6888139459713221
4.06,29.045,1.033,8.765,0.777,9.3768e-06,0.6908765257794496
4.08,29.045,1.042,8.808,0.723,7.7095e-06,0.6929253225936179
4.1,29.045,1.052,8.851,0.665,6.275e-06,0.6949603642880444
4.12,29.045,1.062,8.894,0.601,5.0826e-06,0.6969816792163773
4.14,29.045,1.072,8.938,0.53,4.1138e-06,0.6990055009949395
4.16,29.045,1.082,8.981,0.447,3.3377e-06,0.7009992412259476
4.18,29.045,1.092,9.024,0.345,2.7382e-06,0.7029793444412433
4.2,29.045,1.102,9.067,0.196,2.2561e-06,0.7049458408338803
4.22,29.045,1.113,9.11,nan,1.8678e-06,0.7068987610414886
4.24,29.045,1.123,9.153,nan,1.5537e-06,0.708838136139392
4.26,29.045,1.134,9.197,nan,1.2982e-06,0.7107789792144553
4.28,29.045,1.144,9.24,nan,1.0894e-06,0.7126911621338647
4.3,29.045,1.155,9.283,nan,9.1811e-07,0.7145898975575359
4.32,29.045,1.166,9.326,nan,7.7688e-07,0.716475218234386
4.34,29.045,1.177,9.369,nan,6.5993e-07,0.7183471573169616
4.36,29.045,1.188,9.413,nan,5.6259e-07,0.7202197612087395
4.38,29.045,1.199,9.456,nan,4.8118e-07,0.7220648503392557
4.4,29.045,1.21,9.499,nan,4.128e-07,0.7238966614728477
4.42,29.045,1.221,9.542,nan,3.5518e-07,0.7257152293006297
4.44,29.045,1.233,9.585,nan,3.0642e-07,0.727520588884051
4.46,29.045,1.244,9.628,nan,2.6498e-07,0.7293127756483451
4.48,29.045,1.256,9.672,nan,2.2962e-07,0.7311047357934477
4.5,29.045,1.268,9.715,nan,1.9937e-07,0.7328705074220393
4.52,29.045,1.28,9.758,nan,1.7338e-07,0.7346232163539761
4.54,29.045,1.292,9.801,nan,1.51e-07,0.7363628993954465
4.56,29.045,1.304,9.844,nan,1.3165e-07,0.7380895936841629
4.58,29.045,1.316,9.888,nan,1.1489e-07,0.7398153762745684
4.6,29.045,1.329,9.931,nan,1.0032e-07,0.741516037153498
4.62,29.045,1.341,9.974,nan,8.7629e-08,0.7432038243002332
4.64,29.045,1.354,nan,nan,7.6554e-08,nan
4.66,29.045,1.367,nan,nan,6.6867e-08,nan
4.68,29.045,1.379,nan,nan,5.8377e-08,nan
4.7,29.045,1.392,nan,nan,5.0925e-08,nan
4.72,29.045,1.406,nan,nan,4.4379e-08,nan
4.74,29.045,1.419,nan,nan,3.862e-08,nan
4.76,29.045,1.432,nan,nan,3.3552e-08,nan
4.78,29.045,1.446,nan,nan,2.909e-08,nan
4.8,29.045,1.46,nan,nan,2.5164e-08,nan
4.82,29.045,1.474,nan,nan,2.1708e-08,nan
4.84,29.045,1.488,nan,nan,1.8669e-08,nan
4.86,29.045,1.502,nan,nan,1.6e-08,nan
4.88,29.045,1.516,nan,nan,1.3661e-08,nan
4.9,29.045,1.531,nan,nan,1.1615e-08,nan
4.92,29.045,1.545,nan,nan,9.827e-09,nan
4.94,29.045,1.56,nan,nan,8.2709e-09,nan
4.96,29.045,1.575,nan,nan,6.9193e-09,nan
4.98,29.045,1.59,nan,nan,5.7484e-09,nan
